0 energy for occp = -48.0338618 m = 1 primary_state = (n, k, m, sign)0 -1 1 1
1 energy for occp = -48.0338618 m = -1 primary_state = (n, k, m, sign)0 -1 -1 1
2 energy for occp = -42.6194839 m = 1 primary_state = (n, k, m, sign)0 -2 1 1
3 energy for occp = -42.6194839 m = 3 primary_state = (n, k, m, sign)0 -2 3 1
4 energy for occp = -42.6194839 m = -1 primary_state = (n, k, m, sign)0 -2 -1 1
5 energy for occp = -42.6194839 m = -3 primary_state = (n, k, m, sign)0 -2 -3 1
6 energy for occp = -42.0348957 m = 1 primary_state = (n, k, m, sign)0 1 1 1
7 energy for occp = -42.0348957 m = -1 primary_state = (n, k, m, sign)0 1 -1 1
8 energy for occp = -35.772008 m = -1 primary_state = (n, k, m, sign)0 -3 -1 1
9 energy for occp = -35.772008 m = 5 primary_state = (n, k, m, sign)0 -3 5 1
10 energy for occp = -35.772008 m = -3 primary_state = (n, k, m, sign)0 -3 -3 1
11 energy for occp = -35.772008 m = 1 primary_state = (n, k, m, sign)0 -3 1 1
12 energy for occp = -35.772008 m = -5 primary_state = (n, k, m, sign)0 -3 -5 1
13 energy for occp = -35.772008 m = 3 primary_state = (n, k, m, sign)0 -3 3 1
14 energy for occp = -34.4298225 m = -1 primary_state = (n, k, m, sign)0 2 -1 1
15 energy for occp = -34.4298225 m = 1 primary_state = (n, k, m, sign)0 2 1 1
16 energy for occp = -34.4298225 m = 3 primary_state = (n, k, m, sign)0 2 3 1
17 energy for occp = -34.4298225 m = -3 primary_state = (n, k, m, sign)0 2 -3 1
18 energy for occp = -30.6159737 m = -1 primary_state = (n, k, m, sign)1 -1 -1 1
19 energy for occp = -30.6159737 m = 1 primary_state = (n, k, m, sign)1 -1 1 1
20 energy for occp = -27.8938281 m = -7 primary_state = (n, k, m, sign)0 -4 -7 1
21 energy for occp = -27.8938281 m = 3 primary_state = (n, k, m, sign)0 -4 3 1
22 energy for occp = -27.8938281 m = 1 primary_state = (n, k, m, sign)0 -4 1 1
23 energy for occp = -27.8938281 m = -1 primary_state = (n, k, m, sign)0 -4 -1 1
24 energy for occp = -27.8938281 m = -3 primary_state = (n, k, m, sign)0 -4 -3 1
25 energy for occp = -27.8938281 m = 5 primary_state = (n, k, m, sign)0 -4 5 1
26 energy for occp = -27.8938281 m = 7 primary_state = (n, k, m, sign)0 -4 7 1
27 energy for occp = -27.8938281 m = -5 primary_state = (n, k, m, sign)0 -4 -5 1
28 energy for occp = -25.4777589 m = 3 primary_state = (n, k, m, sign)0 3 3 1
29 energy for occp = -25.4777589 m = -3 primary_state = (n, k, m, sign)0 3 -3 1
30 energy for occp = -25.4777589 m = -1 primary_state = (n, k, m, sign)0 3 -1 1
31 energy for occp = -25.4777589 m = 5 primary_state = (n, k, m, sign)0 3 5 1
32 energy for occp = -25.4777589 m = 1 primary_state = (n, k, m, sign)0 3 1 1
33 energy for occp = -25.4777589 m = -5 primary_state = (n, k, m, sign)0 3 -5 1
34 energy for occp = -20.6827666 m = 3 primary_state = (n, k, m, sign)1 -2 3 1
35 energy for occp = -20.6827666 m = -3 primary_state = (n, k, m, sign)1 -2 -3 1
36 energy for occp = -20.6827666 m = -1 primary_state = (n, k, m, sign)1 -2 -1 1
37 energy for occp = -20.6827666 m = 1 primary_state = (n, k, m, sign)1 -2 1 1
